"temp. pred","confiance (95%)"
-1.39,"[-1.78:-1]"
10.06,"[9.54:10.59]"
3.14,"[2.85:3.43]"
3.37,"[2.99:3.75]"
2.34,"[1.81:2.87]"
3.84,"[3.52:4.17]"
3.11,"[2.8:3.41]"
13.18,"[12.89:13.48]"
6.46,"[6.03:6.89]"
16.34,"[16.01:16.68]"
14.9,"[14.45:15.36]"
14.42,"[14.13:14.71]"
15.53,"[15.23:15.82]"
19.69,"[19.32:20.06]"
14.19,"[13.91:14.47]"
14.04,"[13.83:14.26]"
16.85,"[16.5:17.21]"
19.48,"[19.24:19.73]"
23.5,"[23.15:23.84]"
16.59,"[16.24:16.94]"
22.03,"[21.64:22.43]"
20.66,"[20.28:21.05]"
21.69,"[21.26:22.13]"
23.6,"[23.24:23.96]"
20.22,"[19.85:20.6]"
18.24,"[17.98:18.5]"
13.67,"[13.42:13.91]"
10.55,"[10.2:10.9]"
7.9,"[7.57:8.23]"
13.72,"[13.35:14.09]"
6.45,"[6.1:6.79]"
10.4,"[10.04:10.77]"
9.34,"[8.84:9.84]"
4.77,"[4.36:5.18]"
4.84,"[4.5:5.19]"
4.69,"[4.3:5.08]"
5.06,"[4.65:5.46]"
3.56,"[3.08:4.04]"
4.19,"[3.88:4.51]"
-3.23,"[-3.69:-2.76]"
-1.14,"[-1.51:-0.77]"
8.96,"[8.6:9.33]"
9.7,"[9.27:10.14]"
5.84,"[5.52:6.16]"
10.12,"[9.52:10.72]"
16.74,"[16.43:17.05]"
12.62,"[12.34:12.9]"
11.84,"[11.51:12.18]"
5.52,"[5.02:6.02]"
13.72,"[13.27:14.16]"
15.83,"[15.55:16.12]"
17.44,"[17.04:17.84]"
19.33,"[18.92:19.73]"
20.79,"[20.36:21.23]"
19.82,"[19.55:20.08]"
18.62,"[18.25:19]"
23.82,"[23.45:24.19]"
23.43,"[22.98:23.88]"
13.74,"[13.32:14.17]"
18.75,"[18.46:19.04]"
18.41,"[18.07:18.76]"
17.36,"[17:17.72]"
25.31,"[24.98:25.64]"
22.45,"[21.96:22.95]"
16.07,"[15.78:16.36]"
20.85,"[20.59:21.12]"
12.28,"[11.92:12.63]"
13.19,"[12.93:13.44]"
18.25,"[17.98:18.52]"
12.14,"[11.82:12.45]"
17.84,"[17.49:18.19]"
15.58,"[15.22:15.94]"
6.92,"[6.62:7.22]"
3.6,"[3.21:4]"
3.86,"[3.52:4.19]"
2.44,"[2.09:2.8]"
3.6,"[3.19:4.01]"
2.67,"[2.3:3.03]"
4.24,"[3.9:4.58]"
3.24,"[2.65:3.82]"
7.04,"[6.64:7.45]"
2.12,"[1.79:2.45]"
1.66,"[1.31:2.01]"
2.91,"[2.6:3.22]"
-2.7,"[-3.18:-2.21]"
8.65,"[8.33:8.98]"
13.77,"[13.47:14.06]"
16.56,"[16.26:16.86]"
21.26,"[20.86:21.65]"
20.19,"[19.87:20.5]"
18.85,"[18.53:19.17]"
